rank_date,country_full,rank
2000-01-01,Brazil,1
2003-01-01,Brazil,1
2006-01-01,Brazil,2
2009-01-01,Brazil,3
2012-01-01,Brazil,4
2015-01-01,Brazil,2
2018-01-01,Brazil,1
2021-01-01,Brazil,3
2024-01-01,Brazil,2
2000-01-01,Germany,2
2003-01-01,Germany,3
2006-01-01,Germany,1
2009-01-01,Germany,2
2012-01-01,Germany,1
2015-01-01,Germany,3
2018-01-01,Germany,2
2021-01-01,Germany,1
2024-01-01,Germany,4
2000-01-01,Spain,8
2003-01-01,Spain,5
2006-01-01,Spain,2
2009-01-01,Spain,1
2012-01-01,Spain,1
2015-01-01,Spain,1
2018-01-01,Spain,2
2021-01-01,Spain,7
2024-01-01,Spain,6
2000-01-01,Argentina,4
2003-01-01,Argentina,4
2006-01-01,Argentina,5
2009-01-01,Argentina,4
2012-01-01,Argentina,3
2015-01-01,Argentina,4
2018-01-01,Argentina,3
2021-01-01,Argentina,2
2024-01-01,Argentina,1
2000-01-01,France,3
2003-01-01,France,2
2006-01-01,France,4
2009-01-01,France,6
2012-01-01,France,2
2015-01-01,France,1
2018-01-01,France,3
2021-01-01,France,4
2024-01-01,France,2
2000-01-01,Italy,5
2003-01-01,Italy,6
2006-01-01,Italy,3
2009-01-01,Italy,5
2012-01-01,Italy,5
2015-01-01,Italy,6
2018-01-01,Italy,4
2021-01-01,Italy,5
2024-01-01,Italy,8
2000-01-01,England,9
2003-01-01,England,10
2006-01-01,England,7
2009-01-01,England,8
2012-01-01,England,7
2015-01-01,England,8
2018-01-01,England,6
2021-01-01,England,6
2024-01-01,England,5
2000-01-01,Portugal,12
2003-01-01,Portugal,11
2006-01-01,Portugal,9
2009-01-01,Portugal,7
2012-01-01,Portugal,6
2015-01-01,Portugal,5
2018-01-01,Portugal,5
2021-01-01,Portugal,8
2024-01-01,Portugal,7
2000-01-01,Netherlands,7
2003-01-01,Netherlands,8
2006-01-01,Netherlands,6
2009-01-01,Netherlands,9
2012-01-01,Netherlands,9
2015-01-01,Netherlands,10
2018-01-01,Netherlands,8
2021-01-01,Netherlands,9
2024-01-01,Netherlands,9
2000-01-01,Belgium,20
2003-01-01,Belgium,18
2006-01-01,Belgium,15
2009-01-01,Belgium,10
2012-01-01,Belgium,1
2015-01-01,Belgium,1
2018-01-01,Belgium,1
2021-01-01,Belgium,3
2024-01-01,Belgium,3
